0.000000000000000000e+00,0.000000000000000000e+00,5.165993682118441939e+02,1.263685426859700328e+03
0.000000000000000000e+00,0.000000000000000000e+00,4.666673688019780002e+02,1.239228937352827188e+03
0.000000000000000000e+00,0.000000000000000000e+00,3.973739818658370950e+02,1.242285998541186473e+03
0.000000000000000000e+00,0.000000000000000000e+00,3.647653291900061276e+02,1.189296937942960994e+03
0.000000000000000000e+00,0.000000000000000000e+00,3.382707988908934453e+02,1.201525182696397678e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.543031228682737037e+02,1.425709669842735593e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.318846741536399350e+02,1.451185179745728647e+03
0.000000000000000000e+00,0.000000000000000000e+00,4.310016549377878619e+02,1.403291221128101824e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.604172452449920456e+02,1.214772447845954048e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.655123472255907018e+02,1.275913671613137012e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.563411636605131889e+02,1.114908449026221660e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.655123472255907018e+02,1.147517101702052514e+03
0.000000000000000000e+00,0.000000000000000000e+00,4.890858175166117690e+02,1.110832367441742690e+03
0.000000000000000000e+00,0.000000000000000000e+00,4.656483484058582576e+02,1.129174734571897716e+03
0.000000000000000000e+00,0.000000000000000000e+00,4.992760214778089676e+02,1.031348776544404700e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.237325109846822215e+02,1.332978813795841234e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.548250757944874749e+02,1.063326152746051548e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.480249662306013079e+02,1.091958193015046163e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.286983390490298689e+02,1.108063715666355847e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.029295028069346358e+02,1.140632661472337304e+03
5.400000000000000000e+01,0.000000000000000000e+00,4.728658605244901878e+02,1.041494222040942986e+03
5.400000000000000000e+01,0.000000000000000000e+00,4.667815519673288236e+02,1.074778968853649531e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.419406576734398868e+02,9.992619626441759237e+02
5.400000000000000000e+01,0.000000000000000000e+00,5.376458516330907287e+02,1.215433866675085937e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.709305984457970453e+02,1.182149119862379621e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.823834145533949140e+02,1.136337855431987919e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.059849391768464102e+02,1.325498732352512889e+03
5.400000000000000000e+01,0.000000000000000000e+00,4.926074414062026108e+02,1.360837424444362114e+03
5.400000000000000000e+01,0.000000000000000000e+00,4.931880830351484519e+02,1.374192181910115778e+03
5.400000000000000000e+01,0.000000000000000000e+00,4.955106495509316460e+02,1.406998433945553870e+03
5.400000000000000000e+01,0.000000000000000000e+00,4.461561110905379337e+02,1.396837205439002219e+03
5.400000000000000000e+01,0.000000000000000000e+00,5.770907984178177230e+02,1.328902134852342670e+03
5.400000000000000000e+01,0.000000000000000000e+00,6.128002585979849073e+02,1.309740961097131049e+03
5.400000000000000000e+01,0.000000000000000000e+00,6.133809002269307484e+02,1.294644278744540088e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.972898045001403489e+02,1.297686060555379754e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.364467189285265931e+02,1.310928379179789772e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.203411962772170227e+02,1.349939534046294966e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.242781018142038647e+02,1.426172341262493319e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.765315753051191905e+02,1.392887594449787002e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.171200917469551541e+02,1.228611263406429998e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.475416345327620320e+02,1.079724654007657591e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.142568877200557154e+02,1.062545429846260731e+03
1.140000000000000000e+02,0.000000000000000000e+00,4.752457328535504075e+02,1.014586762395694677e+03
1.140000000000000000e+02,0.000000000000000000e+00,6.151848296682619548e+02,1.038566096120977591e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.772473763118440502e+02,1.051450514242025292e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.521943410764736200e+02,1.047155708201676134e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.353730174184393036e+02,1.133409729512022750e+03
1.140000000000000000e+02,0.000000000000000000e+00,6.065952175875636385e+02,1.205705631191234261e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.514785400697487603e+02,1.181368396962588804e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.307203108747276019e+02,1.177431491425601962e+03
1.140000000000000000e+02,0.000000000000000000e+00,5.196253952704921630e+02,9.544594778308057812e+02
1.870000000000000000e+02,0.000000000000000000e+00,5.992111820543423164e+02,1.100475398991233533e+03
1.870000000000000000e+02,0.000000000000000000e+00,6.038118749162935046e+02,1.149242743327915605e+03
1.870000000000000000e+02,0.000000000000000000e+00,5.458431448557089425e+02,1.215492720540012215e+03
1.870000000000000000e+02,0.000000000000000000e+00,5.509039070038552381e+02,1.226074314122500027e+03
1.870000000000000000e+02,0.000000000000000000e+00,5.163987105392216108e+02,1.262879857018109305e+03
1.870000000000000000e+02,0.000000000000000000e+00,4.294456154483447108e+02,1.237115976991182833e+03
1.870000000000000000e+02,0.000000000000000000e+00,4.947754540880511058e+02,1.113357339004696769e+03
1.870000000000000000e+02,0.000000000000000000e+00,5.269803041217091959e+02,1.105076091853184607e+03
1.870000000000000000e+02,0.000000000000000000e+00,4.685515047749295263e+02,1.052168123940746227e+03
1.870000000000000000e+02,0.000000000000000000e+00,5.831087570375133282e+02,9.974198788835275309e+02
1.870000000000000000e+02,0.000000000000000000e+00,5.964507663371716717e+02,9.937393245939666713e+02
1.870000000000000000e+02,0.000000000000000000e+00,6.102528449230251226e+02,1.008921611038405445e+03
1.870000000000000000e+02,0.000000000000000000e+00,4.924751076570755686e+02,9.886785624458203756e+02
